# 1250 BJT suttas with NO clean 1:1 on Mahamevnawa, grouped by reason.
# Regenerated by build_map.py on every run -- do not hand-edit (edits are overwritten).
# Nearly all are peyyala: repetition series Mahamevnawa bundles onto fewer pages.

# === region-mismatch  (62) ===
#   MIXED region. The two editions enumerate this stretch with different sutta counts, so the positional step skips the WHOLE region. Most are peyyala, but a minority are ordinary suttas that DO have a separate Mahamevnawa page (e.g. an-10-3-2 අජිත, sn-2-6-1 විඤ්ඤාණ) -- collateral of a spelling-variant vagga name; recoverable with finer per-title alignment, still link-gated. NOT all peyyala.
an-2-16-1	2. 16. 1-5
an-4-5-3-4	තතිය බාල .. පණ්ඩිත සුත්තං
an-4-5-3-5	චතුත්ථ බාල - පණ්ඩිත සුත්තං
an-4-5-3-6	පඤ්චම බාල - පණ්ඩිත සුත්තං
an-4-5-3-7	ඡට්ඨ බාල - පණ්ඩිත සුත්තං
an-4-5-3-8	සත්තම බාල - පණ්ඩිත සුත්තං
an-4-5-3-9	අට්ඨම බාල - පණ්ඩිත සුත්තං
an-4-5-3-10	නවම බාල - පණ්ඩිත සුත්තං
an-4-5-3-11	කවිසුත්තං
an-4-7-1	පාණාතිපාතසුත්තං
an-4-7-2	අදින්නාදානසුත්තං
an-4-7-3	කාමමිච්ඡාචාරසුත්තං
an-4-7-4	මුසාවාදසුත්තං
an-4-7-5	පිසුණාවාචාසුත්තං
an-4-7-6	ඵරුසාවාචාසුත්තං
an-4-7-7	සම්ඵප්පලාපසුත්තං
an-4-7-8	අභිජ්ඣාලුසුත්තං
an-4-7-9	බ්යාපන්නචිත්තසුත්තං
an-4-7-10	මිච්ඡාදිට්ඨිසුත්තං
an-4-8-1	චතුසතිපට්ඨානසුත්තං
an-4-8-2	චතුසම්මප්පධානසුත්තං
an-4-8-3	චතුරිද්ධිපාදසුත්තං
an-4-8-4	4. 8. 4. - 30
an-4-8-5	4. 8. 31-60
an-4-8-6	4. 8. 61-480
an-5-4-4-1	ආරඤ්ඤක සුත්තං
an-5-4-4-2	පංසුකූලික සුත්තං
an-5-4-4-3	පිණ්ඩපාතික සුත්තං
an-5-4-4-4	රුක්ඛමූලික සුත්තං
an-5-4-4-5	සොසානික සුත්තං
an-5-4-4-6	අබ්භොකාසික සුත්තං
