nodeKey,collection,pali_name,sinhala_name,sutta_count,min_sutta_chars,max_sutta_chars,total_vagga_chars,chapter_url,content_file
sn-2-1-9-1,sn,1. සත්ථුවග්ගො,1. සත්‍ථු වර්‍ගය,11,229,1041,4204,/tipitaka/sn-2-1-9-1,sn-2-1-5
sn-3-2-2,sn,2. දුතිය මාරවග්ගො,2. දුතිය වර්‍ගය,12,650,1135,9350,/tipitaka/sn-3-2-2,sn-3-2
sn-3-5-1,sn,1. උප්පාදවග්ගො,1. උප්පාද වර්‍ගය,10,483,1398,7632,/tipitaka/sn-3-5-1,sn-3-2
sn-3-6-1,sn,1. කිලෙසවග්ගො,1. කිලේස වර්‍ගය,10,745,1183,9043,/tipitaka/sn-3-6-1,sn-3-2
sn-3-9-1,sn,1. සුපණ්ණ වග්ගො,1. සුපණ්ණ වර්‍ගය,25,121,1485,10241,/tipitaka/sn-3-9-1,sn-3-7
sn-4-1-17,sn,17. සට්ඨිපෙය්යාලො,17. සට්ඨිපෙය්‍යාල වර්‍ගය,30,409,1180,23985,/tipitaka/sn-4-1-17,sn-4-1-12
sn-4-3-2,sn,2. අනුරුද්ධවග්ගො,2. අනුරුද්ධ වර්‍ගය,11,580,1269,7654,/tipitaka/sn-4-3-2,sn-4-2
sn-4-9-1,sn,1. අසංඛතවග්ගො,1. අසඞ්ඛත වර්‍ගය,11,235,1157,5573,/tipitaka/sn-4-9-1,sn-4-8
sn-5-1-15,sn,15. එසනාවග්ගො,15. ඒසනා වර්‍ගය,16,507,1422,15413,/tipitaka/sn-5-1-15,sn-5
sn-5-1-7,sn,7. එකධම්මපෙය්යාලො,7. ඒකධම්මපෙය්‍යාලය,14,380,1448,8937,/tipitaka/sn-5-1-7,sn-5
sn-5-11-7,sn,7. මහාපඤ්ඤවග්ගො,7. මහාපඤ්ඤ වර්‍ගය,13,174,1216,3782,/tipitaka/sn-5-11-7,sn-5-11
sn-5-12-8,sn,8. දුතිය ආමකධඤ්ඤපෙය්යාලවග්ගො,8. දුතිය ආමකධඤ්ඤපෙය්‍යාල,10,338,806,4036,/tipitaka/sn-5-12-8,sn-5-12
sn-5-12-9,sn,9. තතිය ආමකධඤ්ඤපෙය්යාලවග්ගො,9. තතිය ආමකධඤ්ඤ පෙය්‍යාල වර්‍ගය,10,368,736,4281,/tipitaka/sn-5-12-9,sn-5-12
sn-5-2-5,sn,5. චක්කවත්තිවග්ගො,5. චක්කවත්ති වර්‍ගය,10,430,1361,9561,/tipitaka/sn-5-2-5,sn-5-2
sn-5-2-7,sn,7. ආනාපානවග්ගො,7. ආනාපාන වර්‍ගය,15,123,1275,7069,/tipitaka/sn-5-2-7,sn-5-2
sn-5-2-8,sn,8. නිරොධවග්ගො,8. නිරෝධ වර්‍ගය,15,124,1253,6953,/tipitaka/sn-5-2-8,sn-5-2
sn-5-4-3,sn,3. ඡළින්ද්රියවග්ගො,3. ඡළින්‍ද්‍රිය වර්‍ගය,10,325,1456,7844,/tipitaka/sn-5-4-3,sn-5-4
sn-5-4-7,sn,7. සම්බොධිවග්ගො,7. සම්බෝධි වර්‍ගය,10,467,1422,8701,/tipitaka/sn-5-4-7,sn-5-4
vp-pct-1-3-1,vp-pct,පරිමණ්ඩලවග්ගො,පරිමණ්ඩල වර්‍ගය,10,75,994,8480,/tipitaka/vp-pct-1-3-1,vp-pct-1-2
vp-pct-1-3-2,vp-pct,උජ්ජග්ඝිකවග්ගො,උජ්ජග්ඝික වර්‍ගය,10,77,886,7300,/tipitaka/vp-pct-1-3-2,vp-pct-1-2
vp-pct-1-3-3,vp-pct,ඛම්භකතවග්ගො,ඛම්භකත වර්‍ගය,10,70,1036,7010,/tipitaka/vp-pct-1-3-3,vp-pct-1-2
vp-pct-1-3-5,vp-pct,කබළවග්ගො,කබළ වර්‍ගය,10,65,781,6522,/tipitaka/vp-pct-1-3-5,vp-pct-1-2
